,Flight ID,Airline,Flight_Distance,Origin_Airport,Destination_Airport,Scheduled_Departure_Time,Day_of_Week,Month,Airplane_Type,Weather_Score,Previous_Flight_Delay_Minutes,Airline_Rating,Passenger_Load,Flight_Cancelled
56,2110932,Airline D,495,Airport 3,Airport 2,8,5,9,Type E,0.31739,75.0,1.981821,0.150626,True
57,8220493,Airline B,583,Airport 3,Airport 2,9,6,3,Type A,0.743386,73.0,0.567268,0.938454,True
58,8318824,Airline D,491,Airport 3,Airport 4,11,3,5,Type A,0.745895,20.0,1.073958,0.55778,True
59,5420682,Airline B,300,Airport 2,Airport 5,14,1,3,Type D,0.500169,4.0,0.868998,0.70165,True
60,1322198,Airline A,619,Airport 1,Airport 2,14,5,12,Type A,0.145158,44.44444,1.090032,0.945331,True
61,3854089,Airline D,511,Airport 2,Airport 2,3,3,3,Type A,0.077022,26.0,4.582446,0.08357,False
62,9467268,Airline A,270,Airport 1,Airport 2,3,2,1,Type A,0.888749,39.11111,1.094921,0.190445,True
63,7520433,Airline B,642,Airport 5,Airport 5,22,6,2,Type C,0.823476,18.0,2.836387,0.290391,True
64,9854812,Airline B,647,Airport 5,Airport 2,0,7,2,Type D,0.67829,6.0,0.895834,0.477204,True
65,3519291,Airline D,392,Airport 2,Airport 2,11,5,9,Type E,0.839069,0.0,2.464241,0.346055,True
66,5201654,Airline B,358,Airport 5,Airport 2,1,7,7,Type B,0.719487,24.0,4.368139,0.505846,True
67,689012,Airline A,614,Airport 1,Airport 2,14,1,8,Type A,0.996935,4.444444,1.933658,0.209157,True
68,9111889,Airline D,614,Airport 5,Airport 2,16,1,2,Type E,0.150398,6.0,0.605954,0.682154,True
69,6204762,Airline D,548,Airport 5,Airport 3,6,2,9,Type A,0.387742,17.0,4.510361,0.055735,False
70,1850689,Airline A,455,Airport 1,Airport 2,5,3,3,Type A,0.564111,15.11111,0.68457,0.406631,True
71,8068061,Airline E,420,Airport 4,Airport 5,11,5,10,Type D,0.297664,9.0,3.328581,0.179033,True
72,2278399,Airline A,560,Airport 1,Airport 2,18,2,2,Type A,0.825366,3.555556,0.365957,0.821175,True
73,1881922,Airline B,435,Airport 3,Airport 2,0,3,12,Type B,0.912439,57.33333,3.373222,0.883653,True
74,7718376,Airline E,436,Airport 4,Airport 2,20,4,1,Type C,0.412482,4.0,0.178507,0.078786,True
75,3110200,Airline B,578,Airport 2,Airport 2,13,4,9,Type A,0.941542,8.0,3.003224,0.785038,True
76,2628281,Airline A,598,Airport 4,Airport 3,3,3,8,Type E,0.516769,6.666667,3.429701,0.895722,False
77,5907489,Airline A,650,Airport 1,Airport 2,4,1,12,Type A,0.622516,53.33333,0.611242,1.095716,True
78,4179274,Airline D,318,Airport 1,Airport 2,0,1,11,Type B,0.60022,10.0,4.68488,0.579386,True
79,278619,Airline D,450,Airport 5,Airport 3,0,4,4,Type A,0.268331,3.0,0.229862,0.327392,True
80,8528593,Airline E,465,Airport 5,Airport 2,20,1,7,Type C,0.383361,0.0,4.458547,0.321974,False
81,5830667,Airline A,498,Airport 3,Airport 2,5,7,12,Type D,0.553237,38.0,1.909487,0.37897,False
82,820407,Airline E,372,Airport 4,Airport 5,4,1,3,Type D,0.941983,24.66667,3.569574,0.612667,True
83,2319642,Airline A,556,Airport 1,Airport 2,1,3,3,Type A,0.742693,14.22222,1.628871,0.551509,False
84,1160710,Airline A,688,Airport 5,Airport 2,20,6,4,Type C,0.333117,4.0,1.041231,0.653635,True
85,8380850,Airline A,380,Airport 1,Airport 2,4,3,2,Type A,0.110469,11.55556,0.797498,0.044228,True
86,149699,Airline A,518,Airport 1,Airport 2,8,1,10,Type A,1.081666,23.11111,1.324184,0.119117,True
87,6552526,Airline A,625,Airport 5,Airport 4,18,3,4,Type B,0.492985,24.0,4.432551,0.976539,False
88,4016163,Airline D,476,Airport 1,Airport 5,20,5,10,Type D,0.938495,1.333333,4.7743,0.995386,True
89,6127542,Airline C,426,Airport 1,Airport 4,14,4,3,Type B,0.549345,24.0,0.102933,0.746659,True
90,9216745,Airline A,517,Airport 1,Airport 2,12,6,8,Type A,0.705465,8.0,0.881396,0.288447,True
91,4678604,Airline A,573,Airport 1,Airport 2,11,5,11,Type A,0.811912,24.88889,1.67036,1.072554,True
92,1321564,Airline A,373,Airport 1,Airport 2,4,5,2,Type A,0.420976,27.55556,1.319324,0.240416,True
93,2467225,Airline C,603,Airport 5,Airport 3,1,1,11,Type B,0.698984,48.0,4.715111,0.731431,True
94,5071599,Airline A,478,Airport 3,Airport 2,3,1,9,Type A,0.526792,15.0,0.084847,0.115258,True
95,6032355,Airline C,433,Airport 3,Airport 3,17,5,3,Type D,0.67248,23.0,2.188697,0.648904,False
96,5718955,Airline E,346,Airport 3,Airport 4,20,5,4,Type E,0.835833,6.0,3.344019,0.759515,True
97,2753753,Airline B,434,Airport 2,Airport 2,9,2,10,Type A,0.184229,10.0,1.087919,0.85964,True
98,5451687,Airline A,439,Airport 1,Airport 2,12,2,10,Type A,0.713551,0.888889,1.814678,0.826094,False
99,9219047,Airline A,380,Airport 5,Airport 4,11,7,3,Type C,0.052111,10.0,0.406143,0.923485,True
100,848868,Airline A,547,Airport 1,Airport 2,1,4,3,Type A,0.202115,0.888889,1.327596,0.586039,False
101,6858601,Airline A,514,Airport 1,Airport 2,14,5,8,Type A,0.774594,88.0,1.690587,0.762107,True
102,7035488,Airline D,598,Airport 1,Airport 2,13,3,8,Type B,0.070938,29.0,1.533786,0.36955,False
103,4200839,Airline B,571,Airport 5,Airport 2,9,6,6,Type C,0.595358,5.0,0.369232,0.010389,True
104,1962565,Airline A,435,Airport 4,Airport 2,21,2,4,Type A,0.220013,2.0,4.785108,0.756693,False
105,2074216,Airline E,468,Airport 5,Airport 4,7,1,1,Type D,0.304085,8.666667,4.569115,0.869861,False
106,2334458,Airline C,425,Airport 4,Airport 2,14,5,4,Type B,0.129637,11.0,4.63185,0.173924,True
107,5625356,Airline D,340,Airport 3,Airport 5,12,3,8,Type E,0.248667,9.0,4.892512,0.028641,True
108,1804917,Airline C,538,Airport 4,Airport 2,7,6,6,Type E,0.821292,18.0,0.92349,0.164502,True
109,1331109,Airline C,516,Airport 3,Airport 4,20,3,2,Type A,0.638878,73.0,0.78888,0.895289,True
110,3193327,Airline A,439,Airport 1,Airport 2,20,7,3,Type C,0.94976,25.0,0.171073,0.29551,True
111,7836625,Airline A,580,Airport 1,Airport 2,21,3,12,Type A,0.148745,19.55556,2.429557,0.262917,False
112,1677630,Airline E,466,Airport 5,Airport 3,13,1,7,Type A,0.792412,49.0,3.763814,0.01459,True
113,636347,Airline A,623,Airport 1,Airport 2,0,2,11,Type A,0.799077,0.0,1.583156,0.334187,True
114,6552072,Airline A,484,Airport 5,Airport 2,12,3,11,Type E,0.260892,4.0,4.638381,0.715639,False
115,7651145,Airline E,370,Airport 2,Airport 5,7,6,4,Type C,0.729167,13.33333,2.875383,0.959089,True
116,7580881,Airline B,652,Airport 3,Airport 3,17,2,4,Type B,0.716549,36.0,0.648654,0.312741,True
117,8001460,Airline C,536,Airport 4,Airport 5,21,7,5,Type D,0.459345,19.0,1.084322,0.240685,True
118,1335572,Airline A,405,Airport 3,Airport 2,8,7,8,Type B,0.68864,5.0,0.66092,0.888069,True
119,3255983,Airline B,459,Airport 5,Airport 5,12,4,7,Type E,0.444581,79.0,1.53829,0.852505,True
120,8581059,Airline A,417,Airport 1,Airport 2,2,1,9,Type A,0.435546,9.777778,0.948742,0.36918,True
121,1459243,Airline A,599,Airport 1,Airport 2,17,2,5,Type A,0.566491,40.88889,1.992098,0.077406,True
122,2363575,Airline A,291,Airport 1,Airport 2,9,7,1,Type A,0.995129,58.66667,0.478135,1.115988,True
123,6577941,Airline A,527,Airport 1,Airport 2,4,7,4,Type A,0.484584,10.66667,2.013413,0.765792,False
124,2343783,Airline A,328,Airport 1,Airport 2,5,2,6,Type B,0.403688,36.66667,2.456143,0.92658,True
125,8378688,Airline D,311,Airport 2,Airport 2,7,3,6,Type B,0.608403,37.0,4.9983,0.341874,True
126,3284479,Airline E,541,Airport 3,Airport 4,23,6,9,Type A,0.752999,46.66667,3.882912,0.647685,True
127,2873962,Airline D,378,Airport 5,Airport 2,6,3,10,Type E,0.734621,5.333333,4.844765,0.674497,True
128,6263849,Airline A,569,Airport 1,Airport 2,20,6,5,Type A,0.119799,71.11111,1.055879,0.982019,True
129,7849538,Airline E,596,Airport 4,Airport 2,17,7,5,Type E,0.687415,2.0,0.615251,0.993058,True
130,7881502,Airline A,455,Airport 1,Airport 2,13,7,6,Type A,0.550554,41.77778,1.26474,0.122249,True
131,9110509,Airline E,548,Airport 1,Airport 5,14,1,11,Type A,0.52409,17.0,0.621197,0.631117,True
132,3143764,Airline D,647,Airport 5,Airport 2,9,2,6,Type A,0.561663,5.0,2.462259,0.33644,False
133,3916675,Airline E,404,Airport 4,Airport 2,20,5,3,Type A,0.73172,2.0,1.349705,0.811658,True
134,2135170,Airline C,586,Airport 3,Airport 3,11,7,6,Type B,0.831333,9.333333,2.455236,0.754148,True
135,6484007,Airline C,422,Airport 3,Airport 5,6,6,8,Type E,0.646261,9.333333,4.748181,0.892519,True
136,4284021,Airline D,500,Airport 5,Airport 5,6,6,12,Type C,0.563907,7.0,1.44517,0.343703,False
137,4298874,Airline B,437,Airport 2,Airport 2,10,3,6,Type D,0.373769,7.0,4.96717,0.18453,False
138,4186325,Airline B,441,Airport 3,Airport 5,12,3,12,Type A,0.137878,15.0,1.146647,0.021802,False
139,1803557,Airline E,464,Airport 5,Airport 2,14,7,11,Type E,0.958578,15.0,1.040542,0.255507,True
140,5836476,Airline A,440,Airport 4,Airport 5,17,7,5,Type A,0.461842,17.0,2.723943,0.367172,False
141,3976891,Airline E,486,Airport 5,Airport 2,6,4,3,Type A,0.566212,40.0,4.210225,0.946067,True
142,8675777,Airline D,616,Airport 3,Airport 2,5,6,1,Type A,0.751073,28.0,3.747518,0.491373,False
143,63870,Airline A,362,Airport 1,Airport 2,22,1,5,Type A,0.16841,0.0,1.808842,0.625994,True
144,7716224,Airline D,542,Airport 5,Airport 4,10,2,6,Type A,0.855011,21.0,1.413165,0.880129,True
145,9131573,Airline D,392,Airport 1,Airport 5,7,2,6,Type D,0.797026,43.0,0.112584,0.88507,True
146,5133367,Airline D,398,Airport 4,Airport 5,19,2,6,Type E,0.774429,1.0,0.808741,0.527916,True
147,8170559,Airline A,314,Airport 1,Airport 2,0,6,3,Type A,0.121983,14.22222,0.873683,0.127916,True
148,2596699,Airline B,607,Airport 2,Airport 2,7,3,4,Type A,0.526519,18.0,4.858419,0.270516,True
149,9935988,Airline D,475,Airport 4,Airport 2,7,1,3,Type A,0.054268,92.0,4.598887,0.456888,True
150,3687309,Airline A,410,Airport 1,Airport 2,18,2,2,Type A,0.650873,16.88889,0.501611,0.845066,True
151,1215622,Airline A,512,Airport 3,Airport 5,2,6,8,Type B,0.718448,27.33333,3.628112,0.711682,False
152,8112205,Airline A,465,Airport 3,Airport 4,4,5,7,Type B,0.12185,6.666667,2.895084,0.642708,False
153,525863,Airline A,610,Airport 2,Airport 2,2,7,11,Type C,0.694883,45.0,0.249213,0.880246,True
154,4352966,Airline C,398,Airport 4,Airport 3,14,4,8,Type A,0.449533,11.0,1.858528,0.802646,True
155,6916965,Airline A,485,Airport 1,Airport 2,13,4,6,Type A,0.911553,14.22222,1.215184,1.104879,True
156,5419140,Airline D,585,Airport 4,Airport 3,20,2,11,Type D,0.533589,12.66667,3.337871,0.889159,False
157,441623,Airline E,393,Airport 2,Airport 4,14,3,12,Type C,0.336122,78.0,1.474526,0.195656,True
158,4525068,Airline A,453,Airport 4,Airport 2,23,4,7,Type E,0.331992,1.0,4.669093,0.057617,False
159,918170,Airline C,372,Airport 3,Airport 5,16,4,1,Type B,0.897487,6.0,2.259395,0.414511,True
160,8568610,Airline A,413,Airport 1,Airport 2,17,4,10,Type A,0.552872,32.0,0.621324,0.694693,True
161,3349566,Airline A,344,Airport 3,Airport 4,1,4,5,Type A,0.405754,25.0,1.58214,0.643103,True
162,6217592,Airline E,393,Airport 3,Airport 5,11,2,4,Type A,0.039874,8.0,3.759427,0.267513,True
163,702789,Airline A,369,Airport 1,Airport 3,15,6,10,Type D,0.364325,6.666667,3.201427,0.859881,True
164,4642435,Airline C,433,Airport 3,Airport 2,3,1,3,Type D,0.849627,13.0,3.71089,0.329246,True
165,3943722,Airline B,597,Airport 2,Airport 4,1,1,2,Type E,0.760988,17.0,1.461709,0.919115,False
166,2598502,Airline D,527,Airport 1,Airport 2,13,3,9,Type A,0.220913,51.0,1.834243,0.471601,True
167,1822153,Airline A,629,Airport 1,Airport 2,10,6,8,Type A,0.513057,0.0,1.191798,0.011689,False
168,3683898,Airline A,461,Airport 1,Airport 2,12,7,10,Type A,0.29658,60.44444,0.471482,0.182296,True
169,6809930,Airline D,410,Airport 3,Airport 2,6,5,2,Type D,0.954217,15.0,3.455223,0.102319,True
170,221432,Airline A,487,Airport 2,Airport 4,9,1,6,Type D,0.598118,7.0,1.646748,0.044026,False
171,1127386,Airline A,439,Airport 4,Airport 2,23,5,3,Type B,0.754355,21.0,1.631181,0.714017,False
172,1452399,Airline B,541,Airport 3,Airport 2,0,1,3,Type C,0.713809,32.0,1.346825,0.192316,False
173,9581768,Airline D,349,Airport 4,Airport 5,20,1,5,Type C,0.873689,1.0,2.264139,0.83862,True
174,8648781,Airline D,492,Airport 5,Airport 3,3,3,7,Type A,0.949328,37.0,3.85988,0.264469,True
175,7815538,Airline B,650,Airport 3,Airport 2,17,4,7,Type B,0.032446,42.0,4.378044,0.032327,True
176,3057216,Airline A,407,Airport 1,Airport 2,5,3,11,Type A,1.075301,4.444444,2.01127,0.92326,True
177,7225674,Airline A,455,Airport 1,Airport 2,1,1,10,Type A,0.970542,4.444444,1.552984,0.524414,True
178,7183942,Airline E,327,Airport 5,Airport 3,2,6,1,Type B,0.382947,6.0,1.402138,0.599505,True
179,6011625,Airline A,610,Airport 1,Airport 2,13,4,11,Type A,0.937069,41.77778,1.837138,0.378256,True
180,9140822,Airline A,490,Airport 1,Airport 4,7,6,7,Type B,0.736558,9.0,0.19681,0.04604,True
181,1817500,Airline C,447,Airport 1,Airport 2,15,6,7,Type A,0.793114,47.0,3.990762,0.370177,True
182,3461420,Airline A,504,Airport 1,Airport 4,18,6,6,Type C,0.220691,15.33333,4.101138,0.518286,False
183,5087396,Airline B,492,Airport 3,Airport 2,17,4,6,Type D,0.648564,43.0,3.350006,0.011687,True
184,1861521,Airline B,429,Airport 3,Airport 3,5,6,2,Type E,0.025926,24.0,0.489627,0.57429,True
185,6164827,Airline A,359,Airport 1,Airport 2,13,4,3,Type A,0.948229,7.111111,2.493353,1.004672,True
186,3589635,Airline E,515,Airport 5,Airport 2,2,5,3,Type A,0.951043,72.0,3.782046,0.217841,True
187,3294664,Airline A,501,Airport 5,Airport 2,15,7,3,Type A,0.662123,24.66667,3.674034,0.926769,False
188,6253433,Airline A,461,Airport 1,Airport 2,0,1,2,Type A,0.61267,16.88889,0.16002,0.10981,True
189,3488863,Airline A,469,Airport 1,Airport 2,11,2,9,Type A,0.825731,26.66667,0.996763,0.928616,True
190,1715402,Airline B,608,Airport 5,Airport 4,13,6,6,Type A,0.326361,28.0,0.630865,0.840324,True
191,6940538,Airline E,529,Airport 3,Airport 5,18,3,2,Type D,0.626388,13.0,1.805185,0.25776,False
192,4635576,Airline D,367,Airport 3,Airport 4,21,5,3,Type E,0.718973,10.66667,2.852428,0.957843,True
193,1745682,Airline B,628,Airport 2,Airport 5,18,3,10,Type C,0.142681,11.0,4.594361,0.416599,False
194,7644147,Airline D,568,Airport 2,Airport 2,8,2,6,Type C,0.140068,229.0,1.614689,0.141256,True
195,8875533,Airline C,560,Airport 5,Airport 2,6,4,4,Type B,0.716138,17.33333,3.117073,0.591714,False
196,9132430,Airline A,420,Airport 1,Airport 2,13,2,7,Type A,0.531782,1.777778,0.41163,1.121192,True
197,4542005,Airline A,585,Airport 2,Airport 2,4,3,6,Type B,0.889201,21.0,1.769819,0.899292,True
198,5335884,Airline E,518,Airport 1,Airport 2,17,2,6,Type C,0.311939,1.0,4.936187,0.278603,False
199,2703448,Airline D,383,Airport 3,Airport 5,8,1,12,Type D,0.042431,6.666667,3.738205,0.576987,True
200,2486177,Airline B,528,Airport 1,Airport 4,20,2,3,Type A,0.649876,17.0,2.729029,0.115368,False
201,3669313,Airline C,595,Airport 3,Airport 4,6,6,11,Type C,0.684239,22.0,1.258484,0.461845,False
202,9679948,Airline A,556,Airport 3,Airport 2,8,1,8,Type E,0.553592,112.0,1.898526,0.52307,True
203,1600303,Airline A,320,Airport 2,Airport 3,3,6,9,Type C,0.683333,120.0,0.783467,0.315278,True
204,3420419,Airline A,539,Airport 1,Airport 2,16,7,6,Type A,0.623754,2.666667,0.883668,0.54471,True
205,9258570,Airline C,463,Airport 1,Airport 2,11,7,2,Type E,0.692633,23.0,0.753164,0.919938,True
206,9663645,Airline E,311,Airport 3,Airport 2,5,2,1,Type E,0.043937,50.0,3.976535,0.500138,True
207,2973138,Airline A,564,Airport 1,Airport 2,17,1,3,Type A,0.468397,7.111111,0.401898,0.934864,True
208,7909500,Airline D,568,Airport 4,Airport 2,7,1,3,Type D,0.210817,41.0,1.147027,0.31739,True
209,3540587,Airline D,496,Airport 1,Airport 5,20,7,8,Type C,0.099326,42.0,3.455834,0.971404,True
210,9743369,Airline C,398,Airport 5,Airport 4,14,2,5,Type D,0.234093,32.0,4.512584,0.093463,True
211,5704326,Airline D,639,Airport 1,Airport 3,2,5,1,Type A,0.191311,7.333333,5.022958,0.585587,False
212,7317392,Airline C,554,Airport 5,Airport 4,1,4,11,Type C,0.973131,50.66667,4.180115,0.789888,True
213,3737653,Airline B,560,Airport 5,Airport 4,23,4,4,Type D,0.286546,64.0,1.257359,0.814041,True
214,2144691,Airline C,592,Airport 5,Airport 5,22,4,7,Type D,0.230959,37.0,1.628556,0.198281,False
215,2090752,Airline C,621,Airport 4,Airport 2,8,1,5,Type A,0.834875,13.0,4.353762,0.401646,True
216,4962209,Airline D,532,Airport 1,Airport 3,7,7,10,Type E,0.419116,31.33333,4.646665,0.624196,False
217,2810292,Airline D,386,Airport 1,Airport 2,3,4,6,Type C,0.421465,11.0,3.203266,0.315883,True
218,2422498,Airline A,431,Airport 4,Airport 4,1,7,10,Type C,0.44359,8.0,1.568205,0.658296,False
219,5845730,Airline A,448,Airport 3,Airport 2,13,1,4,Type A,0.416535,21.0,1.120283,0.378781,False
220,2177219,Airline A,621,Airport 1,Airport 2,1,7,2,Type A,0.426565,155.5556,2.330707,0.394725,True
221,746559,Airline A,521,Airport 1,Airport 2,1,5,9,Type C,0.286339,48.0,1.226275,0.108068,True
222,9786283,Airline C,431,Airport 2,Airport 4,21,2,2,Type C,0.88196,39.0,3.309022,0.039253,True
223,9232952,Airline D,480,Airport 4,Airport 2,6,7,2,Type C,0.161707,12.0,4.839767,0.835274,False
224,5291726,Airline A,632,Airport 3,Airport 5,11,7,12,Type E,0.181062,11.0,3.726457,0.489544,False
225,7935038,Airline A,561,Airport 3,Airport 2,5,2,2,Type A,0.571719,58.0,1.288352,0.562873,True
226,1962024,Airline B,604,Airport 3,Airport 4,17,1,1,Type C,0.343659,25.0,1.61253,0.372221,False
227,7164008,Airline B,388,Airport 4,Airport 2,3,1,12,Type D,0.421529,50.0,0.464474,0.136742,True
228,5643979,Airline C,479,Airport 5,Airport 5,18,7,12,Type E,0.806547,20.0,3.431187,0.449572,True
229,1231391,Airline D,435,Airport 5,Airport 4,12,5,3,Type B,0.903631,42.0,2.592178,0.228957,True
230,7307022,Airline B,650,Airport 2,Airport 4,19,4,6,Type A,0.790554,60.0,1.032358,0.837683,True
231,636562,Airline A,486,Airport 5,Airport 2,20,5,7,Type D,0.234928,14.0,1.138342,0.986789,False
232,9571890,Airline D,442,Airport 5,Airport 2,22,2,1,Type C,0.979971,0.0,0.045123,0.889096,True
233,6367145,Airline D,299,Airport 3,Airport 2,1,2,5,Type B,0.363177,5.333333,4.892097,0.528274,True
234,1306083,Airline A,641,Airport 3,Airport 5,7,6,5,Type A,0.169067,48.66667,4.340091,0.628132,True
235,1585909,Airline A,645,Airport 1,Airport 2,18,4,1,Type A,0.599497,30.22222,0.985425,1.066638,True
236,734885,Airline A,294,Airport 1,Airport 2,8,7,4,Type A,0.825286,23.7037,2.365225,0.606017,True
237,4909264,Airline D,521,Airport 2,Airport 2,3,2,10,Type B,0.083271,7.333333,3.5856,0.638589,False
238,4086444,Airline E,594,Airport 2,Airport 4,15,6,1,Type D,0.634287,24.0,3.757313,0.62923,False
239,9221587,Airline E,547,Airport 4,Airport 4,18,1,1,Type A,0.858078,20.66667,3.399777,0.708121,True
240,9940977,Airline C,456,Airport 4,Airport 3,9,2,12,Type D,0.261781,3.333333,3.784244,0.640285,False
241,3700767,Airline A,405,Airport 2,Airport 3,5,3,7,Type D,0.693123,103.0,0.854695,0.670705,True
242,4751468,Airline A,616,Airport 1,Airport 2,15,4,7,Type A,0.499909,11.55556,1.605995,0.816631,False
243,3668890,Airline C,577,Airport 2,Airport 2,9,6,3,Type E,0.414135,7.333333,4.446881,0.809099,False
